Bloques;Desarrollo;PC;Rango;GF;Area Bruta (ha);Area Neta (ha);Poblacion ;Densidad;Fecha l Forzamiento;Fecha ll pase de forza;Peso Medio a forza;Rango de peso;Peso fruta proyectada;Fecha de siembra;Edad desde siembra (pc) /cosecha(sc);Sem Estimada a Cosechar;Fecha muestreo de meristemo
400724;PC;PC400724;R3;3325;0,50;0,46;32979;71693;14/08/2025;15/08/2025;2,88;2,8 a 2,89;1,44;29/9/24;10,70;0126;#REF!
401724;PC;PC401724;R3;3325;0,43;0,40;27298;68245;14/08/2025;15/08/2025;2,86;2,8 a 2,89;1,43;6/10/24;10,60;0126;#REF!
402424;PC;PC402424;R0;3325;0,30;0,28;19016;67914;14/08/2025;15/08/2025;2,81;2,8 a 2,89;1,41;6/10/24;10,50;0126;#REF!
402524;PC;PC402524;R3;3325;0,70;0,64;44003;68755;14/08/2025;15/08/2025;2,83;2,8 a 2,89;1,42;6/10/24;10,40;0126;#REF!
660324;PC;PC660324;R2;3325;0,38;0,34;24654;72512;14/08/2025;15/08/2025;2,97;2,9 a 2,99;1,63;13/10/24;10,30;0126;#REF!
660424;PC;PC660424;R1;3325;0,50;0,46;31810;69152;14/08/2025;15/08/2025;2,84;2,8 a 2,89;1,56;13/10/24;10,30;0126;#REF!
660524;PC;PC660524;R3;3325;0,18;0,16;11315;70719;14/08/2025;15/08/2025;2,94;2,9 a 2,99;1,62;13/10/24;10,40;0126;#REF!
660724;PC;PC660724;R3;3325;0,59;0,55;37788;68705;14/08/2025;15/08/2025;2,92;2,9 a 2,99;1,61;13/10/24;10,30;0126;#REF!
660924;PC;PC660924;R2;3325;0,20;0,15;10433;69553;14/08/2025;15/08/2025;2,97;2,9 a 2,99;1,63;13/10/24;10,30;0126;#REF!
661124;PC;PC661124;R2;3325;0,10;0,09;6492;72133;14/08/2025;15/08/2025;2,95;2,9 a 2,99;1,62;13/10/24;10,30;0126;#REF!
661324;PC;PC661324;R2;3325;0,77;0,71;50921;71720;14/08/2025;15/08/2025;2,95;2,9 a 2,99;1,62;20/10/24;10,00;0126;#REF!
661424;PC;PC661424;R3;3325;0,60;0,55;39769;72307;14/08/2025;15/08/2025;3,04;>=3,0;1,67;20/10/24;10,10;0126;#REF!
560523;SC;SC560523;R2;3325;0,18;0,17;12103;71194;14/08/2025;15/08/2025;2,80;2,8 a 2,89;1,51;27/8/24;11,90;0126;#REF!
561023;SC;SC561023;R1;3325;0,05;0,05;3432;68640;14/08/2025;15/08/2025;2,77;2,7 a 2,79;1,50;16/8/24;12,40;0126;#REF!
561223;SC;SC561223;R1;3325;0,30;0,27;19646;72763;14/08/2025;15/08/2025;2,76;2,7 a 2,79;1,49;16/8/24;12,40;0126;#REF!
561923;SC;SC561923;R1;3325;0,27;0,25;18019;72076;14/08/2025;15/08/2025;2,78;2,7 a 2,79;1,50;27/8/24;11,90;0126;#REF!
562223;SC;SC562223;R1;3325;0,23;0,21;14999;71424;14/08/2025;15/08/2025;2,76;2,7 a 2,79;1,49;11/9/24;11,30;0126;#REF!
562323;SC;SC562323;R2;3325;0,24;0,21;15172;72248;14/08/2025;15/08/2025;2,95;2,9 a 2,99;1,59;2/9/24;11,60;0126;#REF!
562923;SC;SC562923;R1;3325;0,55;0,49;35585;72622;14/08/2025;15/08/2025;2,65;2,6 a 2,69;1,43;11/9/24;11,30;0126;#REF!
564223;SC;SC564223;R1;3325;0,25;0,22;15879;72177;14/08/2025;15/08/2025;2,71;2,7 a 2,79;1,46;3/10/24;10,60;0126;#REF!
400224;PC;PC400224;R0;3425;0,13;0,12;8365;69708;22/08/2025;24/08/2025;2,96;2,9 a 2,99;1,51;29/9/24;10,90;0226;#REF!
400524;PC;PC400524;R1;3425;0,13;0,12;8020;66833;22/08/2025;24/08/2025;2,53;2,5 a 2,59;1,21;29/9/24;10,90;0226;#REF!
400624;PC;PC400624;R3;3425;0,52;0,47;33007;70228;22/08/2025;24/08/2025;2,84;2,8 a 2,89;1,45;29/9/24;10,90;0226;#REF!
400924;PC;PC400924;R1;3425;0,17;0,15;10560;70400;22/08/2025;24/08/2025;2,99;2,9 a 2,99;1,44;29/9/24;10,90;0226;#REF!
401024;PC;PC401024;R1;3425;0,01;0,01;817;81700;22/08/2025;24/08/2025;2,89;2,8 a 2,89;1,39;29/9/24;10,90;0226;#REF!
401224;PC;PC401224;R3;3425;0,34;0,32;21830;68219;22/08/2025;24/08/2025;2,89;2,8 a 2,89;1,47;29/9/24;10,90;0226;#REF!
401324;PC;PC401324;R2;3425;0,28;0,26;17903;68858;22/08/2025;24/08/2025;2,82;2,8 a 2,89;1,44;29/9/24;10,90;0226;#REF!
401424;PC;PC401424;R1;3425;0,17;0,15;10478;69853;22/08/2025;24/08/2025;2,87;2,8 a 2,89;1,46;29/9/24;10,90;0226;#REF!
401524;PC;PC401524;R2;3425;0,24;0,22;15792;71782;22/08/2025;24/08/2025;3,02;>=3,0;1,44;29/9/24;10,90;0226;#REF!
402624;PC;PC402624;R2;3425;0,32;0,30;20424;68080;22/08/2025;24/08/2025;2,81;2,8 a 2,89;1,43;6/10/24;10,70;0226;#REF!
660124;PC;PC660124;R0;3425;0,34;0,32;22813;71291;22/08/2025;24/08/2025;2,71;2,7 a 2,79;1,49;13/10/24;10,60;0226;#REF!
660224;PC;PC660224;R1;3425;0,35;0,32;22713;70978;22/08/2025;24/08/2025;2,85;2,8 a 2,89;1,57;13/10/24;10,70;0226;#REF!
661224;PC;PC661224;R0;3425;0,27;0,25;17867;71468;22/08/2025;24/08/2025;2,70;2,7 a 2,79;1,49;13/10/24;10,50;0226;#REF!
661524;PC;PC661524;R1;3425;0,50;0,47;33768;71847;22/08/2025;24/08/2025;2,98;2,9 a 2,99;1,64;20/10/24;10,20;0226;#REF!
661624;PC;PC661624;R3;3425;0,50;0,47;32894;69987;22/08/2025;24/08/2025;3,02;>=3,0;1,66;20/10/24;10,30;0226;#REF!
561423;SC;SC561423;R3;3425;0,32;0,29;20896;72055;22/08/2025;24/08/2025;2,77;2,7 a 2,79;1,50;5/8/24;12,80;0226;#REF!
561823;SC;SC561823;R1;3425;0,06;0,06;4144;69067;22/08/2025;24/08/2025;2,75;2,7 a 2,79;1,49;5/8/24;12,80;0226;#REF!
563623;SC;SC563623;R0;3425;0,12;0,11;8029;72991;22/08/2025;24/08/2025;2,61;2,6 a 2,69;1,41;24/9/24;11,20;0226;#REF!
563723;SC;SC563723;R1;3425;0,12;0,10;7330;73300;22/08/2025;24/08/2025;2,60;2,6 a 2,69;1,40;11/9/24;11,50;0226;#REF!
563823;SC;SC563823;R1;3425;0,27;0,24;17194;71642;22/08/2025;24/08/2025;2,59;2,5 a 2,59;1,40;24/9/24;11,10;0226;#REF!
563923;SC;SC563923;R2;3425;0,36;0,31;22406;72277;22/08/2025;24/08/2025;2,60;2,6 a 2,69;1,40;11/9/24;11,50;0226;#REF!
564023;SC;SC564023;R1;3425;0,21;0,19;13929;73311;22/08/2025;24/08/2025;2,65;2,6 a 2,69;1,43;24/9/24;11,10;0226;#REF!
564523;SC;SC564523;R0;3425;0,07;0,06;4526;75433;22/08/2025;24/08/2025;2,61;2,6 a 2,69;1,41;3/10/24;10,80;0226;#REF!
564623;SC;SC564623;R0;3425;0,05;0,04;3068;76700;22/08/2025;24/08/2025;2,62;2,6 a 2,69;1,41;3/10/24;10,80;0226;#REF!
610123;SC;SC610123;R1;3425;0,11;0,10;6947;69470;22/08/2025;24/08/2025;2,58;2,5 a 2,59;1,29;20/9/24;11,20;0226;#REF!
610223;SC;SC610223;R0;3425;0,11;0,10;7046;70460;22/08/2025;24/08/2025;2,54;2,5 a 2,59;1,27;15/10/24;10,60;0226;#REF!
610323;SC;SC610323;R1;3425;0,13;0,12;8634;71950;22/08/2025;24/08/2025;2,58;2,5 a 2,59;1,29;15/10/24;10,60;0226;#REF!
610423;SC;SC610423;R4;3425;0,17;0,15;10896;72640;22/08/2025;24/08/2025;2,65;2,6 a 2,69;1,33;20/9/24;11,20;0226;#REF!
610523;SC;SC610523;R1;3425;0,23;0,21;14668;69848;22/08/2025;24/08/2025;2,65;2,6 a 2,69;1,33;20/9/24;11,20;0226;#REF!
610623;SC;SC610623;R1;3425;0,18;0,24;17202;71675;22/08/2025;24/08/2025;2,67;2,6 a 2,69;1,34;20/9/24;10,50;0226;#REF!
610723;SC;SC610723;R0;3425;0,26;0,45;31805;70678;22/08/2025;24/08/2025;2,61;2,6 a 2,69;1,31;15/10/24;11,20;0226;#REF!
611523;SC;SC611523;R3;3425;0,22;0,20;14321;71605;22/08/2025;24/08/2025;2,76;2,7 a 2,79;1,38;30/7/24;13,00;0226;#REF!
680124;PC;PC680124;R3;3525;0,30;0,28;15590;55679;29/08/2025;30/08/2025;3,24;>=3,0;1,88;20/10/24;10,40;0326;#REF!
680224;PC;PC680224;R4;3525;0,32;0,28;20299;72496;29/08/2025;30/08/2025;3,20;>=3,0;1,86;20/10/24;10,40;0326;#REF!
